date,influenza,flu,fever
2021-06-27,1,8,22
2021-07-04,1,9,24
2021-07-11,1,10,25
2021-07-18,1,12,27
2021-07-25,1,15,27
2021-08-01,2,18,28
2021-08-08,2,20,30
2021-08-15,2,21,32
2021-08-22,2,22,32
2021-08-29,2,21,31
2021-09-05,2,27,31
2021-09-12,2,29,28
2021-09-19,2,36,28
2021-09-26,2,39,28
2021-10-03,2,41,27
2021-10-10,2,41,27
2021-10-17,2,34,26
2021-10-24,2,34,26
2021-10-31,2,34,26
2021-11-07,2,32,28
2021-11-14,2,34,28
2021-11-21,2,28,27
2021-11-28,2,33,30
2021-12-05,3,30,30
2021-12-12,3,33,32
2021-12-19,4,41,42
2021-12-26,4,50,56
2022-01-02,5,51,56
2022-01-09,3,36,46
2022-01-16,3,22,39
2022-01-23,2,18,31
2022-01-30,2,16,29
2022-02-06,2,15,27
2022-02-13,2,16,25
2022-02-20,2,16,24
2022-02-27,2,15,24
2022-03-06,2,16,24
2022-03-13,3,18,24
2022-03-20,2,18,25
2022-03-27,3,18,25
2022-04-03,3,21,27
2022-04-10,3,20,26
2022-04-17,3,21,28
2022-04-24,3,21,28
2022-05-01,3,19,30
2022-05-08,3,19,31
2022-05-15,2,17,32
2022-05-22,2,14,31
2022-05-29,2,14,32
2022-06-05,2,13,31
2022-06-12,1,11,30
2022-06-19,1,11,31
2022-06-26,1,10,31
2022-07-03,1,14,34
2022-07-10,1,10,31
2022-07-17,1,10,32
2022-07-24,1,9,30
2022-07-31,1,9,28
2022-08-07,1,9,30
2022-08-14,1,10,28
2022-08-21,1,14,29
2022-08-28,1,14,30
2022-09-04,1,19,27
2022-09-11,2,23,26
2022-09-18,2,27,27
2022-09-25,2,30,26
2022-10-02,2,37,29
2022-10-09,2,44,29
2022-10-16,2,46,31
2022-10-23,3,58,32
2022-10-30,4,60,36
2022-11-06,5,56,36
2022-11-13,6,56,38
2022-11-20,8,64,42
2022-11-27,9,65,41
2022-12-04,10,68,43
2022-12-11,10,63,43
2022-12-18,8,57,41
2022-12-25,6,47,39
2023-01-01,4,32,29
