date,dengue,sintomas de dengue,mosquito
2026-05-10,7,0,5
2026-05-17,8,0,5
2026-05-24,9,1,5
2026-05-31,9,0,6
2026-06-07,9,1,5
2026-06-14,10,1,5
2026-06-21,10,1,6
2026-06-28,10,1,6
2026-07-05,11,1,6
2026-07-12,10,1,5
2026-07-19,11,1,6
