date,signal,value,stderr,sample_size
20201210,fb_survey_wcli,1.42428,0.1496755,6607.9202
20201211,fb_survey_wcli,1.3188026,0.1437957,6485.9139
20201212,fb_survey_wcli,1.2646137,0.1454311,6301.9172
20201213,fb_survey_wcli,1.3932528,0.1524001,6199.9255
20201214,fb_survey_wcli,1.4360275,0.1535992,6432.9245
20201215,fb_survey_wcli,1.5096984,0.1566844,6637.9153
20201216,fb_survey_wcli,1.486567,0.1560167,6691.9134
20201217,fb_survey_wcli,1.5355493,0.1594064,6719.9054
20201218,fb_survey_wcli,1.4854091,0.1553447,6762.9029
20201219,fb_survey_wcli,1.4641346,0.153812,6920.8898
20201220,fb_survey_wcli,1.4450438,0.1627623,7036.8942
20201221,fb_survey_wcli,1.2723858,0.153806,6766.8999
20201222,fb_survey_wcli,1.1330263,0.1448436,6577.9051
20201223,fb_survey_wcli,1.1523743,0.1429493,6557.9091
20201224,fb_survey_wcli,1.2241769,0.1449151,6579.914
20201225,fb_survey_wcli,1.3793384,0.1526738,6527.9285
20201226,fb_survey_wcli,1.4758766,0.1607327,6538.9411
20201227,fb_survey_wcli,1.3380686,0.1434565,6608.937
20201228,fb_survey_wcli,1.5120938,0.1583396,6774.939
20201229,fb_survey_wcli,1.6466993,0.1630487,7044.9384
20201230,fb_survey_wcli,1.7515576,0.1698214,7307.9354
20201231,fb_survey_wcli,1.817988,0.1669938,7602.9137
20210101,fb_survey_wcli,1.9618834,0.1734096,7965.909
20210102,fb_survey_wcli,1.9571776,0.1686671,8243.9097
20210103,fb_survey_wcli,2.1789732,0.1759231,8455.9087
20210104,fb_survey_wcli,2.2123842,0.1748066,8543.8929
20210105,fb_survey_wcli,2.1889144,0.1743898,8421.8975
20210106,fb_survey_wcli,2.1943315,0.1828663,8398.8801
20210107,fb_survey_wcli,2.0762,0.1790934,8313.9013
20210108,fb_survey_wcli,2.0183501,0.1802951,8234.9051
20210109,fb_survey_wcli,1.9598284,0.172902,8197.8973
20210110,fb_survey_wcli,1.8881763,0.1697507,8146.9023
20210111,fb_survey_wcli,1.850308,0.1622324,8115.9078
20210112,fb_survey_wcli,1.8836479,0.1628642,8245.907
20210113,fb_survey_wcli,1.8299732,0.1451175,8319.9247
20210114,fb_survey_wcli,1.8165499,0.144673,8329.9231
20210115,fb_survey_wcli,1.7473722,0.1363146,8368.9189
20210116,fb_survey_wcli,1.6797747,0.1344127,8320.9291
20210117,fb_survey_wcli,1.7398543,0.1383609,8263.9183
20210118,fb_survey_wcli,1.7608257,0.1443303,8344.9216
20210119,fb_survey_wcli,1.9280143,0.1760351,8402.9197
20210120,fb_survey_wcli,1.9451348,0.183439,8200.9034
20210121,fb_survey_wcli,1.9925382,0.1886761,8268.9079
20210122,fb_survey_wcli,2.0844051,0.1964221,8256.9032
20210123,fb_survey_wcli,2.0730257,0.1996322,8288.9019
20210124,fb_survey_wcli,2.0074406,0.1963926,8310.8964
20210125,fb_survey_wcli,1.8901091,0.1897546,8221.8937
20210126,fb_survey_wcli,1.624257,0.1568264,8202.8866
20210127,fb_survey_wcli,1.5468844,0.1482317,8358.8955
20210128,fb_survey_wcli,1.5756397,0.1483623,8317.887
20210129,fb_survey_wcli,1.3494256,0.1279797,8283.8901
20210130,fb_survey_wcli,1.4508153,0.131772,8092.8869
20210131,fb_survey_wcli,1.4142647,0.1337358,8033.8958
20210201,fb_survey_wcli,1.5217322,0.1514995,7674.9076
20210202,fb_survey_wcli,1.506862,0.1552085,7257.9235
20210203,fb_survey_wcli,1.4384852,0.1514242,7354.9244
20210204,fb_survey_wcli,1.3467697,0.1465312,7311.9256
20210205,fb_survey_wcli,1.4685833,0.1586056,7241.9204
20210206,fb_survey_wcli,1.4908189,0.1593907,7267.9224
20210207,fb_survey_wcli,1.421878,0.1567894,7133.9238
20210208,fb_survey_wcli,1.2520841,0.1385337,7306.925
20210209,fb_survey_wcli,1.2092297,0.1327597,7477.9192
20210210,fb_survey_wcli,1.1894736,0.1379507,7137.9185
20210211,fb_survey_wcli,1.1473052,0.138183,6946.9295
20210212,fb_survey_wcli,1.0402017,0.1308104,7000.9345
20210213,fb_survey_wcli,0.9812386,0.129688,7051.9315
20210214,fb_survey_wcli,1.0037641,0.1378175,7118.9353
20210215,fb_survey_wcli,1.0923454,0.1479311,7243.9189
20210216,fb_survey_wcli,1.1510583,0.1549041,7309.9161
20210217,fb_survey_wcli,1.1955845,0.1613294,7398.9141
20210218,fb_survey_wcli,1.3456098,0.1744448,7546.9105
20210219,fb_survey_wcli,1.3474093,0.1714414,7431.9182
20210220,fb_survey_wcli,1.3423245,0.1709644,7325.9196
20210221,fb_survey_wcli,1.3431901,0.1653291,7245.9218
20210222,fb_survey_wcli,1.3348272,0.1645419,7138.9273
20210223,fb_survey_wcli,1.4244466,0.1785335,7121.9322
20210224,fb_survey_wcli,1.3754378,0.1692917,7014.9353
20210225,fb_survey_wcli,1.384806,0.2132998,6958.9307
20210226,fb_survey_wcli,1.3500721,0.2120616,6906.9305
20210227,fb_survey_wcli,1.4099617,0.2270258,6875.9319
20210228,fb_survey_wcli,1.376889,0.229102,6865.9297
20210301,fb_survey_wcli,1.2931348,0.2240289,6865.9272
20210302,fb_survey_wcli,1.1493066,0.2082313,6874.9174
20210303,fb_survey_wcli,1.1926505,0.2100097,6916.9195
20210304,fb_survey_wcli,1.0144297,0.1473722,6894.9239
20210305,fb_survey_wcli,1.0649584,0.1595905,6930.9117
20210306,fb_survey_wcli,0.9197491,0.1331445,6913.9118
20210307,fb_survey_wcli,1.0251705,0.1499443,6894.914
20210308,fb_survey_wcli,1.1472057,0.1710502,6842.9217
20210309,fb_survey_wcli,1.2325448,0.1766544,6747.9275
20210310,fb_survey_wcli,1.1960084,0.1758781,6711.9347
20210311,fb_survey_wcli,1.3635596,0.2437683,6596.9303
20210312,fb_survey_wcli,1.2776155,0.2355921,6443.9483
20210313,fb_survey_wcli,1.165184,0.229993,6292.951
20210314,fb_survey_wcli,1.0431862,0.215923,6180.9489
20210315,fb_survey_wcli,1.0443884,0.2112262,6098.9462
20210316,fb_survey_wcli,1.0704885,0.2217159,6111.9445
20210317,fb_survey_wcli,1.128043,0.2253723,6057.9345
20210318,fb_survey_wcli,1.0806434,0.1614782,6113.9303
20210319,fb_survey_wcli,1.0745773,0.1602298,6198.9265
20210320,fb_survey_wcli,1.214249,0.1833554,6360.9264
20210321,fb_survey_wcli,1.206069,0.1819081,6452.9208
