origin_country,origin_airport,origin_city,n_routes
United Arab Emirates,DXB,Dubai,1
United States,FAR,Fargo,1
United States,FSD,Sioux Falls,1
United States,LWB,Lewisburg,1
United States,MCN,Macon,1
United States,MEI,Meridian,1
United States,MSL,Muscle Shoals,1
United States,PIB,Hattiesburg/Laurel,1
United States,TTN,Trenton,1
United States,TUP,Tupelo,1
Venezuela,CCS,Caracas,1
