gadm_id,gadm_name,home_to_ping_distance_category,distance_category_ping_fraction,ds
MEX.11.42_1,Valle de Santiago,"(0, 10)",0.5506211599154989,2026-06-16
MEX.21.49_1,Coxcatlán,100+,0.00435322183086389,2026-06-16
MEX.21.49_1,Coxcatlán,0,0.4189232417513226,2026-06-16
MEX.21.49_1,Coxcatlán,"(0, 10)",0.5363102291125776,2026-06-16
MEX.21.49_1,Coxcatlán,"[10, 100)",0.04069197058946776,2026-06-16
MEX.1.2_1,Asientos,0,0.37964204465073376,2026-06-16
MEX.1.2_1,Asientos,"[10, 100)",0.10576952661646538,2026-06-16
MEX.1.2_1,Asientos,"(0, 10)",0.5109890543963964,2026-06-16
MEX.1.2_1,Asientos,100+,0.002932571154052215,2026-06-16
MEX.13.2_1,Acaxochitlán,100+,0.02055530039347036,2026-06-16
MEX.13.2_1,Acaxochitlán,0,0.3693632468955319,2026-06-16
MEX.13.2_1,Acaxochitlán,"[10, 100)",0.058629511929279766,2026-06-16
MEX.13.2_1,Acaxochitlán,"(0, 10)",0.5541495037423507,2026-06-16
MEX.24.5_1,Axtla de Terrazas,"[10, 100)",0.04704009816774174,2026-06-16
MEX.24.5_1,Axtla de Terrazas,100+,0.004872979382409376,2026-06-16
MEX.24.5_1,Axtla de Terrazas,"(0, 10)",0.5578504861169926,2026-06-16
MEX.24.5_1,Axtla de Terrazas,0,0.39024924167449004,2026-06-16
MEX.29.9_1,Contla de Juan Cuamatzi,100+,0.0014374652486703675,2026-06-16
MEX.29.9_1,Contla de Juan Cuamatzi,"(0, 10)",0.5425054441415309,2026-06-16
MEX.29.9_1,Contla de Juan Cuamatzi,0,0.36215086726312606,2026-06-16
MEX.29.9_1,Contla de Juan Cuamatzi,"[10, 100)",0.09529420652727201,2026-06-16
MEX.20.23_1,Dist. Teposcolula,100+,0.01174489636199059,2026-06-16
MEX.20.23_1,Dist. Teposcolula,"[10, 100)",0.06594999601785996,2026-06-16
MEX.20.23_1,Dist. Teposcolula,"(0, 10)",0.5497782581739495,2026-06-16
MEX.20.23_1,Dist. Teposcolula,0,0.3739382192184672,2026-06-16
MEX.16.28_1,Copándaro,"[10, 100)",0.07149131824371739,2026-06-16
MEX.16.28_1,Copándaro,100+,0.0898421226720185,2026-06-16
MEX.16.28_1,Copándaro,0,0.3850404421850564,2026-06-16
MEX.16.28_1,Copándaro,"(0, 10)",0.4522152565141244,2026-06-16
MEX.9.1_1,Alvaro Obregón,"[10, 100)",0.07438273276369615,2026-06-16
MEX.9.1_1,Alvaro Obregón,0,0.3518774362767044,2026-06-16
MEX.9.1_1,Alvaro Obregón,"(0, 10)",0.5711951928695583,2026-06-16
MEX.9.1_1,Alvaro Obregón,100+,0.002529235735386777,2026-06-16
MEX.28.29_1,Ocampo,0,0.38988868500886625,2026-06-16
MEX.28.29_1,Ocampo,"[10, 100)",0.05114725042785463,2026-06-16
MEX.28.29_1,Ocampo,"(0, 10)",0.5416596883161022,2026-06-16
MEX.28.29_1,Ocampo,100+,0.01564041175892786,2026-06-16
MEX.24.27_1,San Antonio,100+,0.004381030365850272,2026-06-16
MEX.24.27_1,San Antonio,"(0, 10)",0.5526541376737538,2026-06-16
MEX.24.27_1,San Antonio,"[10, 100)",0.03723689232592324,2026-06-16
MEX.24.27_1,San Antonio,0,0.3993506652784593,2026-06-16
MEX.20.10_1,Dist. Juchitan,"[10, 100)",0.04030412042011197,2026-06-16
MEX.20.10_1,Dist. Juchitan,"(0, 10)",0.558729668614987,2026-06-16
MEX.20.10_1,Dist. Juchitan,0,0.3927948765753624,2026-06-16
MEX.20.10_1,Dist. Juchitan,100+,0.008138312477681783,2026-06-16
MEX.21.28_1,Cañada Morelos,"[10, 100)",0.0950483063335349,2026-06-16
MEX.21.28_1,Cañada Morelos,"(0, 10)",0.4975292632358938,2026-06-16
MEX.21.28_1,Cañada Morelos,100+,0.010293096591905526,2026-06-16
MEX.21.28_1,Cañada Morelos,0,0.39651076717259476,2026-06-16
MEX.5.75_1,Reforma,"[10, 100)",0.061608676738218536,2026-06-16
MEX.5.75_1,Reforma,0,0.3760873681820595,2026-06-16
MEX.5.75_1,Reforma,100+,0.0037724826302603476,2026-06-16
MEX.5.75_1,Reforma,"(0, 10)",0.5589998429217036,2026-06-16
MEX.21.13_1,Altepexi,"(0, 10)",0.5833694188066161,2026-06-16
MEX.21.13_1,Altepexi,100+,-0.008237244591119698,2026-06-16
MEX.21.13_1,Altepexi,0,0.41964406784722624,2026-06-16
MEX.21.13_1,Altepexi,"[10, 100)",0.006846578205437416,2026-06-16
MEX.12.75_1,Zitlala,100+,0.0012400173008602796,2026-06-16
MEX.12.75_1,Zitlala,"(0, 10)",0.5667557713176441,2026-06-16
MEX.12.75_1,Zitlala,"[10, 100)",0.02603244453971807,2026-06-16
MEX.12.75_1,Zitlala,0,0.40495461194938315,2026-06-16
MEX.30.153_1,Tantima,100+,0.005270942468105371,2026-06-16
MEX.30.153_1,Tantima,"[10, 100)",0.03987089273283271,2026-06-16
MEX.30.153_1,Tantima,"(0, 10)",0.537399163100435,2026-06-16
MEX.30.153_1,Tantima,0,0.41690511415041487,2026-06-16
MEX.20.21_1,Dist. Tehuantepec,100+,0.005913462893026492,2026-06-16
MEX.20.21_1,Dist. Tehuantepec,"(0, 10)",0.5782760806500225,2026-06-16
MEX.20.21_1,Dist. Tehuantepec,0,0.37565013254913215,2026-06-16
MEX.20.21_1,Dist. Tehuantepec,"[10, 100)",0.04018198263754362,2026-06-16
MEX.15.108_1,Tonatico,0,0.4610743292407244,2026-06-16
MEX.15.108_1,Tonatico,"[10, 100)",0.06733045695997784,2026-06-16
MEX.15.108_1,Tonatico,"(0, 10)",0.4515330423145464,2026-06-16
MEX.15.108_1,Tonatico,100+,0.007633598860754475,2026-06-16
MEX.31.7_1,Cacalchén,"(0, 10)",0.4673715433972936,2026-06-16
MEX.31.7_1,Cacalchén,100+,-0.0006825933866039111,2026-06-16
MEX.31.7_1,Cacalchén,0,0.4225624481592942,2026-06-16
MEX.31.7_1,Cacalchén,"[10, 100)",0.13286395789557143,2026-06-16
MEX.20.1_1,Choapam,"[10, 100)",0.030768419205111155,2026-06-16
MEX.20.1_1,Choapam,"(0, 10)",0.5201135347749857,2026-06-16
MEX.20.1_1,Choapam,100+,0.004169947350205136,2026-06-16
MEX.20.1_1,Choapam,0,0.4442998235979056,2026-06-16
MEX.5.37_1,Huitiupán,"[10, 100)",0.022426752285715185,2026-06-16
