date,handle,keywords,text
2026-07-07,pandemiccenter.bsky.social,outbreak,Why is the current #Ebola outbreak uniquely concerning? 🌐  New #TrendingGlobally from @watsonschoolbrown.bsky.social features experts Dr. Adam Levine (@brownmedicine.bsky.social) & @craigspencer.bsky.social on how the global health community must respond.  Listen now ⤵️
2026-07-02,rsph.bsky.social,flu,"There's still time to sign up to take our free public health training!  Designed for people who work with children, their parents or caregivers, the training will teach you to incorporate conversations about flu vaccines into everyday conversations ⬇️  www.surveymonkey.com/r/CCV5"
2026-06-30,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for June 29 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Low   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-06-30,pandemiccenter.bsky.social,outbreak,"New in @thelancet.com with @krutikakuppalli.bsky.social, Martin Cetron, and @drdebhoury.bsky.social — we argue the current US response to the Ebola outbreak in DR Congo and Uganda is breaking with longstanding global health policy in very worrying ways.  www.thelancet.com/journal"
2026-06-29,pandemiccenter.bsky.social,influenza,"Understanding how climate drives influenza can help us prepare globally for outbreaks.  Center Affiliate Rachel Baker notes that while winter cold and low humidity trigger intense seasonal outbreaks, tropical heat and moisture sustain them year-round.  sph.brown.edu/news/2026-06."
2026-06-26,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for June 25 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Low  Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-06-26,pandemiccenter.bsky.social,outbreak,🗓️ Join us next week for discussion on the response to #Ebola in the DRC   Join @wilmotjames.bsky.social and David Saah for this vital discussion on how earth observation may help improve situational awareness with the outbreak.    Register now: brown.zoom.us/webinar/regi...
2026-06-26,pandemiccenter.bsky.social,cholera;outbreak,"🛥️The US #hantavirus quarantine for MV Hondius passengers has ended.  🦠 Over the past week, the DRC #Ebola outbreak passed 1K cases  🌍 Nigeria’s #cholera outbreak continues with over 13K cases.  Stay updated & subscribe to our weekly Tracking Report: mailchi.mp/messages/pan..."
2026-06-25,rsph.bsky.social,flu,"We are looking for people who work with children, their parents or caregivers in England to take our public health training for free!  The training, valued at £175, will teach you to incorporate conversations about flu vaccines into everyday conversations.  Register 👇  www.survey"
2026-06-24,pandemiccenter.bsky.social,measles,"CIDRAP Op-Ed: Call it what it is—the US has lost its hold on measles elimination  The strongest evidence that this is continuous measles spread, rather than reintroduction, comes from the virus itself.  Full Op-Ed by @unbiasedscipod.bsky.social's Jess Steier: ow.ly/fMZ350ZggOo"
2026-06-23,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for June 22 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Not Detected   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-06-22,pandemiccenter.bsky.social,measles,"The world is currently facing historic public health challenges, from #Ebola outbreaks to a worrying rise in #Measles cases.  Subscribe now to stay informed on these evolving infectious disease threats with the Pandemic Center’s Tracking Report newsletter. mailchi.mp/brown/tracki"
2026-06-22,pandemiccenter.bsky.social,outbreak,"🗓️ Join us July 1, 12PM ET for our next webinar  How can Earth observation fill gaps in the #Ebola outbreak response? Join @wilmotjames.bsky.social and David Saah for this vital discussion.  Register now: brown.zoom.us/webinar/regi..."
2026-06-18,pandemiccenter.bsky.social,outbreak,"A month into the growing Ebola outbreak, I wrote about what worries me, why the numbers don’t tell the whole story, and why communities are understandably pushing back on the response.  open.substack.com/pub/craigasp..."
2026-06-17,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for June 16 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Not Detected   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-06-16,pandemiccenter.bsky.social,covid;measles,"New Mexico's first human case of plague in 2026 has killed a woman & raised concerns of ongoing public risk, especially in the midst of the World Cup. Professor Will Goedel says “considering the high density of people from all over the world, we are more focused on COVID-19, meas"
